,Unnamed: 0,species,id,name,sex,accuracy,birthYear,acquisition,originDate,originLocation,mother,father,transfers,currently,region,status,statusDate,notes,transferDate,transfer,entryDate,code
0,0,Bottlenose,"NOA0004614, AZA 428, MLF-428",Dazzle,F,a,1989,Born,1989-04-07,Marineland Florida,Betty III,Davy II,,Marineland Florida,US,Alive,,,,US,1989-04-07,FL
1,1,Bottlenose,"NOA0004386, AZA 138, IDR-73-1",Tursi,F,a,1973,Born,1973-11-26,Dolphin Research Center,Little Bit,Mr. Gipper,,Dolphin Research Center,US,Alive,,,,US,1973-11-26,FL
2,2,Bottlenose,"NOA0002137, SWC-TTG-7816",Starbuck,M,a,1978,Born,1978-05-13,SeaWorld San Diego,Cindy (T.t. gilli),Sambo,SeaWorld San Diego to SeaWorld Aurora (??-???-1983) to SeaWorld San Diego (??-???-1983) to SeaWorld Aurora (??-???-1985) to SeaWorld San Diego (??-???-1985) to SeaWorld Orlando (< Nov 1987) to SeaWorld San Antonio (< 1991) to Busch Gardens Tampa (1991 / 1992) to National Aquarium in Baltimore (11-Oct-1992) to SeaWorld Aurora (22-Oct-1997) to SeaWorld San Antonio (26-Apr-1998) to SeaWorld Orlando (03-Apr-2000) to Busch Gardens Tampa (28-Sep-2000) to SeaWorld Orlando (19-Apr-2001),SeaWorld Orlando,US,Alive,,,,US,1978-05-13,FL
3,3,Bottlenose,"NOA0002690, SWF-TT-7903",Sandy,F,a,1979,Born,1979-02-03,SeaWorld Orlando,Gigi,,SeaWorld Orlando to SeaWorld San Diego (< Aug 1986),SeaWorld San Diego,US,Alive,,,,US,1979-02-03,CA
4,4,Bottlenose,"NOA0004418, AZA 242, SWF-TT-7904, MH-82-36-TT (New England Aquarium)",Sandy,M,a,1979,Born,1979-08-15,SeaWorld Orlando,Wendy,,SeaWorld Orlando to New England Aquarium (22-Feb-1982) to Dolphin Research Center (23-Oct-1991),Dolphin Research Center,US,Alive,,,,US,1979-08-15,FL
5,5,Bottlenose,"NOA0002725, SWC-TT-8014",Nacha,F,a,1980,Born,1980-10-10,SeaWorld San Diego,Notchfin,Jethro (T.t. gilli),SeaWorld San Diego to SeaWorld Aurora (< 1987) to SeaWorld San Antonio (13-Oct-1990?),SeaWorld San Antonio,US,Alive,,,,US,1980-10-10,TX
6,6,Bottlenose,"NOA0005036, MH-86-181-TT",Kama,M,a,1981,Born,1981-03-27,SeaWorld San Diego,Jiffy,Jethro (T.t. gilli),SeaWorld San Diego to New England Aquarium (22-Oct-1986) to U.S. Navy MMP (17-Nov-1987),U.S. Navy,US,Alive,,,,US,1981-03-27,CA
7,7,Bottlenose,"NOA0002746, SWF-TT-8106",Jenever,F,a,1981,Born,1981-10-20,SeaWorld Orlando,Wendy,,SeaWorld Orlando to SeaWorld San Antonio (< 1991) to SeaWorld Orlando (03-Apr-2000),SeaWorld Orlando,US,Alive,,,,US,1981-10-20,FL
8,8,Bottlenose,"NOA0002766, AZA 313, SWC-TT-8228",Duffy,M,a,1982,Born,1982-10-16,SeaWorld San Diego,Priscilla,Clicker,SeaWorld San Diego to SeaWorld Aurora (15-Apr-2000) to SeaWorld Orlando (17-Feb-2001) to Theater of the Sea (28-Jun-2005),Theater of the Sea,US,Alive,,,,US,1982-10-16,FL
9,9,Bottlenose,"NOA0002784, AZA 334, SWC-TTG-8326 ",Astra,F,a,1983,Born,1983-03-07,SeaWorld San Diego,Cindy,Clicker,SeaWorld San Diego to SeaWorld Aurora (??-???-????) to Unknown History (SeaWorld) to SeaWorld Orlando (??-???-????) to Discovery Cove (~ Feb 2000),Discovery Cove,US,Alive,,,,US,1983-03-07,FL
10,10,Bottlenose,"NOA0004607, AZA 362, MLF-410",Sunny,M,a,1984,Born,1984-01-12,Marineland Florida,Nellie,Rusty (blonde),,Marineland Florida,US,Alive,,"Sunny was originally nicknamed ""Jan""",,US,1984-01-12,FL
11,11,Bottlenose,"NOA0002803, SWC-TT-8426",Yoyo,F,a,1984,Born,1984-03-06,SeaWorld San Diego,Maggie,Gouda,SeaWorld San Diego to SeaWorld San Antonio (< 1991),SeaWorld San Antonio,US,Alive,,,,US,1984-03-06,TX
12,12,Bottlenose,"NOA0002802, AZA, SWF-TT-8402",Phil,M,a,1984,Born,1984-08-12,SeaWorld Orlando,Tanya,Ralph,SeaWorld Orlando to SeaWorld San Diego (19-Feb-1988) to SeaWorld Orlando (19-Apr-2001) to Busch Gardens Tampa (19-Apr-2001) to SeaWorld Orlando (04-Mar-2002),SeaWorld Orlando,US,Alive,,,,US,1984-08-12,FL
13,13,Bottlenose,"NOA0004396, AZA 367, DRC-BC-84-5 ",Merina,F,a,1984,Born,1984-11-21,Dolphin Research Center,Bee,Delphi,,Dolphin Research Center,US,Alive,,,,US,1984-11-21,FL
14,14,Bottlenose,"NOA0004398, AZA 369, DRC-BC-84-6 ",Aleta,F,a,1984,Born,1984-12-21,Dolphin Research Center,Misty,Delphi,,Dolphin Research Center,US,Alive,,,,US,1984-12-21,FL
15,15,Bottlenose,"NOA0004403, AZA 407, DRC-BC-86-1 ",Santini,F,a,1986,Born,1986-11-30,Dolphin Research Center,Theresa,Delphi,,Dolphin Research Center,US,Alive,,,,US,1986-11-30,FL
16,16,Bottlenose,"NOA0000686, AZA 409, 910046",Allie,F,a,1987,Born,1987-04-01,Dolphin Connection,April,Merlin,Dolphin Connection to Brookfield Zoo (29-Jun-1991) to Dolphin Connection (05-Apr-2000) to Minnesota Zoo (14-Jan-2008) to Brookfield Zoo (04-Oct-2012),Brookfield Zoo,US,Alive,,,,US,1987-04-01,IL
17,17,Bottlenose,"NOA0002922, SWF-TT-8702",Dottie,F,a,1987,Born,1987-04-26,SeaWorld Orlando,Darla,Ralph,SeaWorld Orlando to SeaWorld Aurora (Early 1995) to SeaWorld San Diego (26-Apr-1999),SeaWorld San Diego,US,Alive,,,,US,1987-04-26,CA
18,18,Bottlenose,"NOA0002955, SWF-TT-8801",Clyde,M,a,1988,Born,1988-03-16,SeaWorld Orlando, Bonnie,Ralph,SeaWorld Orlando to SeaWorld Aurora (Early 1995) to SeaWorld Orlando (11-Oct-1997) to SeaWorld Aurora (26-Apr-1998) to SeaWorld Orlando (17-Feb-2001),SeaWorld Orlando,US,Alive,,,,US,1988-03-16,FL
19,19,Bottlenose,"NOA0002956, SWC-TT-8826",Sparky,M,a,1988,Born,1988-04-08,SeaWorld San Diego,Sharkey,Semo,SeaWorld San Diego to U.S. Navy MMP (28-Feb-2011),U.S. Navy,US,Alive,,,,US,1988-04-08,CA
20,20,Bottlenose,"NOA0004413, AZA 423, DRC-BC-88-2 ",A.J.,M,a,1988,Born,1988-05-23,Dolphin Research Center,Aphrodite,Joe,,Dolphin Research Center,US,Alive,,,,US,1988-05-23,FL
21,21,Killer Whale; Orca,"NOA0002959, SWC-OO-8826",Orkid,F,a,1988,Born,1988-09-23,SeaWorld San Diego,Kandu V,Orky II,,SeaWorld San Diego,US,Alive,,,,US,1988-09-23,CA
22,22,Killer Whale; Orca,"NOA0002961, SWT-OO-8876",Kayla,F,a,1988,Born,1988-11-26,SeaWorld San Antonio,Kenau,Orky II,SeaWorld San Antonio to SeaWorld Aurora (20-Apr-1991) to SeaWorld San Antonio (14-Oct-1999) to SeaWorld Orlando (17-Nov-2006),SeaWorld Orlando,US,Alive,,,,US,1988-11-26,FL
23,23,Bottlenose,"NOA0004613, SWF-TT-0103",Razzle,M,a,1989,Born,1989-04-06,Marineland Florida,Mary,Davy II,Marineland of Florida to SeaWorld Orlando (26-Mar-2001) to SeaWorld San Diego (03-Apr-2004),SeaWorld San Diego,US,Alive,,,,US,1989-04-06,CA
24,24,Bottlenose,"NOA0002988, TT-830M, ""BEL""",Belle,M,a,1989,Born,1989-08-16,SeaWorld San Antonio,Alice,Guy,SeaWorld San Antonio to SeaWorld San Diego (~ Sep 1993) to SeaWorld Orlando (08-Jun-1996) to SeaWorld Aurora (17-Apr-2000) to SeaWorld Orlando (17-Feb-2001) to SeaWorld San Diego (03-Apr-2004) to U.S. Navy (30-Nov-2005) to SeaWorld San Diego (10-Sep-2007),SeaWorld San Diego,US,Alive,,,,US,1989-08-16,CA
25,25,Bottlenose,"NOA0002987, SWC-TT-8927",Melanie,F,a,1989,Born,1989-08-26,SeaWorld San Diego,Scarback,Jethro (T.t. gilli),,SeaWorld San Diego,US,Alive,,,,US,1989-08-26,CA
26,26,Bottlenose,"NOA0003033, SWO-TTG-9052",Tasha,F,a,1990,Born,1990-02-15,SeaWorld Aurora,Astra,Domino,SeaWorld Aurora to SeaWorld San Diego (14-Oct-1990) to SeaWorld Orlando (??),SeaWorld Orlando,US,Alive,,Tasha arrived to SeaWorld Orlando in the early 1990's,,US,1990-02-15,FL
27,27,Bottlenose,"NOA0003010, SWC-TT-9026",Bubba,M,a,1990,Born,1990-04-04,SeaWorld San Diego,Sandy (Bubbles),Crunch,SeaWorld San Diego to SeaWorld Orlando (08-Jun-1996) to Busch Gardens Tampa (12-Jan-1999) to SeaWorld Orlando (10-Jan-2000) to Busch Gardens Tampa (15-Feb-2000) to SeaWorld Orlando (10-May-2001),SeaWorld Orlando,US,Alive,,,,US,1990-04-04,FL
28,28,Bottlenose,"NOA0003009, SWF-TT-9001",Steime,F,a,1990,Born,1990-04-08,SeaWorld Orlando,Spanky,Ralph,SeaWorld Orlando to SeaWorld Aurora (Early 1995) to SeaWorld San Diego (26-Apr-1999),SeaWorld San Diego,US,Alive,,,,US,1990-04-08,CA
29,29,Bottlenose,"NOA0004416, AZA 423, DRC-BC-90-4 ",Talon,M,a,1990,Born,1990-06-08,Dolphin Research Center,Tursi,Delphi,,Dolphin Research Center,US,Alive,,,,US,1990-06-08,FL
30,30,Bottlenose,"NOA0003011, SWC-TT-9027",Baretta,M,a,1990,Born,1990-08-13,SeaWorld San Diego,Cometta,Kai (T.t. gilli),SeaWorld San Diego to SeaWorld Orlando (02-Apr-2000),SeaWorld Orlando,US,Alive,,,,US,1990-08-13,FL
31,31,Bottlenose,"NOA0004617, AZA 447, MLF-431",Roxy,F,a,1990,Born,1990-08-26,Marineland Florida,Pebbles,Chubby,,Marineland Florida,US,Alive,,,,US,1990-08-26,FL
32,32,Killer Whale; Orca,"FOR0000737, SWC-Oo-1226",Shouka,F,a,1990,Born,1993-02-25,Marineland Antibes,Sharkan,Kim II,Marineland Antibes to Six Flags Great Adventure (20-May-2002) to Six Flags Discovery Kingdom (19-Apr-2004) to SeaWorld San Diego (20-Aug-2012),SeaWorld San Diego,US,Alive,,,,US,1993-02-25,CA
