,species,id,name,sex,accuracy,birthYear,acquisition,originDate,originLocation,mother,father,transfers,currently,region,status,statusDate,COD,notes,transferDate,transfer,entryDate
1,Bottlenose,"NOA0004614, AZA 428, MLF-428",Dazzle,F,a,1989,Born,1989-04-07,Marineland Florida,Betty III,Davy II,,Marineland Florida,US,Alive,,,,,US,1989-04-07
2,Bottlenose,"NOA0004386, AZA 138, IDR-73-1",Tursi,F,a,1973,Born,1973-11-26,Dolphin Research Center,Little Bit,Mr. Gipper,,Dolphin Research Center,US,Alive,,,,,US,1973-11-26
3,Bottlenose,"NOA0002137, SWC-TTG-7816",Starbuck,M,a,1978,Born,1978-05-13,SeaWorld San Diego,Cindy (T.t. gilli),Sambo,SeaWorld San Diego to SeaWorld Aurora (??-???-1983) to SeaWorld San Diego (??-???-1983) to SeaWorld Aurora (??-???-1985) to SeaWorld San Diego (??-???-1985) to SeaWorld Orlando (< Nov 1987) to SeaWorld San Antonio (< 1991) to Busch Gardens Tampa (1991 / 1992) to National Aquarium in Baltimore (11-Oct-1992) to SeaWorld Aurora (22-Oct-1997) to SeaWorld San Antonio (26-Apr-1998) to SeaWorld Orlando (03-Apr-2000) to Busch Gardens Tampa (28-Sep-2000) to SeaWorld Orlando (19-Apr-2001),SeaWorld Orlando,US,Alive,,,,,US,1978-05-13
4,Bottlenose,"NOA0002690, SWF-TT-7903",Sandy,F,a,1979,Born,1979-02-03,SeaWorld Orlando,Gigi,,SeaWorld Orlando to SeaWorld San Diego (< Aug 1986),SeaWorld San Diego,US,Alive,,,,,US,1979-02-03
5,Bottlenose,"NOA0004418, AZA 242, SWF-TT-7904, MH-82-36-TT (New England Aquarium)",Sandy,M,a,1979,Born,1979-08-15,SeaWorld Orlando,Wendy,,SeaWorld Orlando to New England Aquarium (22-Feb-1982) to Dolphin Research Center (23-Oct-1991),Dolphin Research Center,US,Alive,,,,,US,1979-08-15
6,Bottlenose,"NOA0002725, SWC-TT-8014",Nacha,F,a,1980,Born,1980-10-10,SeaWorld San Diego,Notchfin,Jethro (T.t. gilli),SeaWorld San Diego to SeaWorld Aurora (< 1987) to SeaWorld San Antonio (13-Oct-1990?),SeaWorld San Antonio,US,Alive,,,,,US,1980-10-10
7,Bottlenose,"NOA0005036, MH-86-181-TT",Kama,M,a,1981,Born,1981-03-27,SeaWorld San Diego,Jiffy,Jethro (T.t. gilli),SeaWorld San Diego to New England Aquarium (22-Oct-1986) to U.S. Navy MMP (17-Nov-1987),U.S. Navy,US,Alive,,,,,US,1981-03-27
8,Bottlenose,"NOA0002746, SWF-TT-8106",Jenever,F,a,1981,Born,1981-10-20,SeaWorld Orlando,Wendy,,SeaWorld Orlando to SeaWorld San Antonio (< 1991) to SeaWorld Orlando (03-Apr-2000),SeaWorld Orlando,US,Alive,,,,,US,1981-10-20
9,Bottlenose,"NOA0002766, AZA 313, SWC-TT-8228",Duffy,M,a,1982,Born,1982-10-16,SeaWorld San Diego,Priscilla,Clicker,SeaWorld San Diego to SeaWorld Aurora (15-Apr-2000) to SeaWorld Orlando (17-Feb-2001) to Theater of the Sea (28-Jun-2005),Theater of the Sea,US,Alive,,,,,US,1982-10-16
10,Bottlenose,"NOA0002784, AZA 334, SWC-TTG-8326 ",Astra,F,a,1983,Born,1983-03-07,SeaWorld San Diego,Cindy,Clicker,SeaWorld San Diego to SeaWorld Aurora (??-???-????) to Unknown History (SeaWorld) to SeaWorld Orlando (??-???-????) to Discovery Cove (~ Feb 2000),Discovery Cove,US,Alive,,,,,US,1983-03-07
11,Bottlenose,"NOA0004607, AZA 362, MLF-410",Sunny,M,a,1984,Born,1984-01-12,Marineland Florida,Nellie,Rusty (blonde),,Marineland Florida,US,Alive,,,"Sunny was originally nicknamed ""Jan""",,US,1984-01-12
