currently,average year,latitude,longitude,Backcross,Beluga,Bottlenose,Commerson's,Hybrid,Killer Whale; Orca,"Pilot, Short-fin",Rough-toothed,"Spotted, Atlantic","White-sided, Pacific",number in center
Aquatica Orlando,23.5,28.4156275,-81.456997,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4
Brookfield Zoo,14.625,41.834853,-87.851813,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
Clearwater Marine Aquarium,11.333333333333334,27.9768877,-82.8192925,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Discovery Cove,14.148148148148149,28.40509,-81.46244,2.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54
Dolphin Connection,29.2,24.776879,-80.91319,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Dolphin Quest Hawai,14.916666666666666,20.2207,-155.83028,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
Dolphin Quest Oahu,22.0,19.9724,-155.818,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
Dolphin Research Center,19.44,24.7669499,-80.9455449,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25
Dolphinaris Arizona,12.25,33.5545629,-111.8759887,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
Dolphins Plus Bayside,11.333333333333334,25.0966419,-80.4396404,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
Dolphins Plus Oceanside,19.0,25.096613,-80.441655,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
EPCOT The Seas,25.25,28.540447,-81.372866,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
Georgia Aquarium,14.0,33.7622862,-84.3945776,0.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
Gulf World Marine Park,6.4,30.2110899,-85.8672572,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5
Gulfarium Marine Adventure,11.25,30.2110899,-85.8672572,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
Indianapolis Zoo,19.2,39.7669212,-86.1799659,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
Inst. for Marine Mammal Studies,28.666666666666668,30.420158,-89.0167326,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Marineland Florida,16.125,29.670557,-81.213723,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
Miami Seaquarium,4.777777777777778,25.7449289,-80.1458679,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9
Mirage Dolphin Habitat,16.555555555555557,36.120172,-115.177915,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
SeaWorld Orlando,17.435897435897434,29.4566321,-98.6986558,0.0,1.0,28.0,0.0,1.0,5.0,4.0,0.0,0.0,0.0,39
SeaWorld San Antonio,16.63157894736842,32.7659778,-117.2266265,0.0,6.0,22.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,38
SeaWorld San Diego,20.23404255319149,28.410793,-81.462392,0.0,5.0,31.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,47
Shedd Aquarium,17.714285714285715,29.4566321,-98.6986558,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14
Six Flags Discovery Kingdom,21.27272727272728,41.8026586,-87.5836826,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
Texas State Aquarium,17.0,37.797875,-122.41438,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
Theater of the Sea,24.75,24.9232736,-80.6274943,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
U.S. Navy,22.3125,32.708103,-117.2474344,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80
